attraction_name,Rating,description,Best Time To Visit,country
Madurai,3.6,"Madurai, the cultural capital of Tamil Nadu, is one of the oldest continuously inhabited cities of India. Ruled by Pandya kings for the longest time in its history, it is called as the 'Lotus City' as it was planned and built in the shape of a lotus. Madurai is known for Meenakshi Amm...",October to March,india
Amarnath,3.5,"Amarnath, located in union territory of Jammu and Kashmir is one of the most important pilgrimage in India for the worshippers of Lord Shiva. The Amarnath cave has an enshrined Shivaling formed naturally with ice, which resembles Lord Shiva.",May to September,india
Bodh Gaya,4,"Bodh Gaya is a Buddhist pilgrimage site in Gaya District of Bihar. Famous for the Mahabodhi Temple, It was here under the Bodhi tree that Gautama Buddha attained enlightenment.",October to March,india
Ujjain,3.5,"Ujjain, considered to be one of the holiest cities of India, is an ancient city situated on the eastern bank of the Shipra River in the Malwa region of Madhya Pradesh. Ujjain is one of the four sites for the Kumbh Mela, the largest peace-time gathering on the planet that attracts 100 million people ...",October to March,india
Pachmarhi,3.9,"Pachmarhi is the only hill station and is the highest point in Madhya Pradesh. Pachmarhi is also often known as ""Satpura ki Rani"" or the ""Queen of the Satpura Range"". Situated at an altitude of 1,067 metres, the picturesque town is a part of UNESCO Biosphere Reserve, home to leopards ...",Throughout the year,india
Mahabaleshwar,4,"Mahabaleshwar is a hill station located in the Western Ghats, in Satara district of Maharashtra. Apart from its strawberries, Mahabaleshwar is also well known for its numerous rivers, magnificent cascades and majestic peaks. It is among the most sought after weekend getaways from Mumbai.",October to June,india
Nashik,3.4,"Nasik is a religious Hindu city, host to the Kumbh Mela every 12 years. It also makes for a perfect wine tasting destination.",July to March,india
Tirupati,4.4,"Situated in the Chittoor district of Andhra Pradesh, Tirupati is known for Lord Venkateshwara Temple, one of the most visited pilgrimage centres in the country. Tirumala is one of the seven hills in Tirupati, where the main temple is located. The temple is believed to be placed where Lord Venkateshw...",September to March,india
Gwalior,3.4,"Gwalior is a historic city located in the state of Madhya Pradesh. Popular because of the hilltop fort, Gwalior is full of palaces and glorious temples giving this city a majestic charm which speaks volumes of its glorious past.",July to March,india
Mathura,3.8,"One of Hinduism's seven sacred cities, Mathura is the birthplace of the very beloved Lord Krishna. Located in the state of Uttar Pradesh, Mathura and Vrindavan are often considered twin cities (located only 10km away from each other). Mathura is a small town dotted with temples from various ages and...",October to March,india
Jog Falls,3.9,"The second-highest plunge waterfall in India, Jog Falls is a major tourist attraction in Karnataka and is the highest waterfall in the state. Second, to the Nohkalikai Falls of Meghalaya, Jog falls drops about a huge 253 m (850 ft. ) in a single fall. However, due to the construc...",July to December,india
Alibag,3.7,"A little coastal town tucked away in the Konkan region of Maharashtra, Alibag or Alibaug is a very popular weekend getaway and has earned itself the name of 'mini-Goa', owing to the high tourist footfall all year round. Steeped in colonial history, Alibaug is a quaint little town located about ...",November to March,india
Rameshwaram,3.3,"Rameshwaram is one of the holiest places in India and is located on a beautiful island. It is separated by a small Pamban channel from Sri Lanka. According to the Hindu mythology, this is the place where Lord Rama created a bridge across the sea to Sri Lanka.",Throughout the year,india
Vrindavan,3.7,"One of the oldest cities on the banks of Yamuna, Vrindavan is considered to be one of the most important places of pilgrimage for the devotees of Krishna. It is said that Lord Krishna had spent his childhood in Vrindavan. The name of the city has been derived from Vrinda (meaning basil) and van (mea...",October to March,india
Coimbatore,3.4,"Often termed as 'Manchester of South India', Coimbatore, the second-largest city in Tamil Nadu, photographically situated on the banks of River Noyyal. Coimbatore, also known as Kovai, is a welcoming area with the backdrop of hustle-bustle and charm of activity and industry. From ancient temple...",September to March,india
Lucknow,3.7,"The capital and the largest city of Uttar Pradesh, Lucknow, situated on the banks of river Gomti, welcomes you with a heartwarming note of ""Muskuraiyein, kyunki aap Lucknow mein hai"". A city of kebabs and nawabs, of architecture and history, of literature and culture – that is Lucknow in a nuts...",October to March,india
Digha,3.9,"Beach town situated on the shores of Bay of Bengal, Digha is a popular tourist destination known for its untouched beaches and scenic views, especially among people in West Bengal.",July to March,india
Dharamshala,3.5,"Dharamshala or Dharamsala city is located in Kangra district at a distance of 18 km from Kangra city. Dharamsala is separated as upper and lower divisions with different altitudes. The lower division is the Dharamsala town itself. whereas, the upper-division is located 3km away and popularly known a...",October to June,india
Kovalam,4.2,"Kovalam is an idyllic coastal town located around 13 km from Thiruvananthapuram in Kerala. Famous for its three adjacent crescent-shaped shallow water and low tidal beaches, Kovalam is dotted with resorts and ayurvedic massage centres.",September to March,india
Kaziranga National Park,3.4,"Home to the largest population of the one-horned rhino on earth, Kaziranga National Park is one of India’s national treasures in terms of flora and fauna. Located in the state of Assam in North-Eastern India, its total area is shared by the districts of Nagaon, Golaghat and Karbi Anglong placing it ...",October to June,india
Madikeri,4,"Generally covered as a part of trips to Coorg, Madikeri is a hill town in Karnataka with vast coffee plantations, lush forests and misty hills, all culminating into a breathtaking view. Located in Kodagu District around 6 hours from Bengaluru, Madikeri is a perfect weekend getaway. There is no ...",February to September,india
Matheran,4.3,"Nestled amidst the Sahyadri range on the Western Ghats, Matheran is a cosy little hill station that stands at an elevation of 2600 feet above sea level, and is just 100 kilometres away from Mumbai, making it the perfect weekend getaway. With its name literally translating to “overhead forest”, Mathe...",Throughout the year,india
Ranthambore,4.2,"This is one of the best tiger reserves of the country, known to have ""friendly"" tigers and chances of sighting one here is reasonably better than many other tiger reserves of India. Along with this Ranthambore has one of the richest flora and fauna making it an absolutely must visit area",October to Apr,india
Jim Corbett National Park,3.7,"Jim Corbett National Park is the oldest national park set amidst the foothills of the Himalayas in the Nainital district of Uttarakhand. Known for housing the endangered Bengal tiger, Corbett National Park is part of the larger Corbett Tiger Reserve.",Mid October to Mid June,india
Kasol,4.2,"Kasol is a quaint little village in Himachal situated along the banks of the river Parvati. Commonly known as the 'Amsterdam of India', Kasol is a tourist attraction that is rapidly gaining fame as a popular hub for trekkers, backpackers, and nature lovers. Kasol is situated 23 kms from Bhuntar and ...",October to June,india
Agartala,3.6,"Home to the Manikya Kings in the past, Agartala is the perfect mix of natural beauty combined with diverse and rich culture.",Throughout the year,india
Khandala,3.5,"Khandala is a popular hill station in Maharashtra, perched on the foothills of Sahyadri in the Western Ghats. Khandala provides for a perfect weekend respite for the Mumbai population, with its scenic valleys, grassy hills, serene lakes and misty waterfalls.",Throughout the year,india
Kalimpong,3.7,"Kalimpong is a virgin hill station in West Bengal renowned for its panoramic valley views, Buddhists monasteries and churches and Tibetan handicrafts etc.","March to June, September to December",india
Thanjavur,3.9,"Also known as Tanjore or the city of temples, Thanjavur has a lot of cultural value and is known for its famous Tanjore paintings, antiques and handicrafts, textiles and saris , its Carnatic music and musical instruments and of course the temples.",October to March,india
Bhubaneswar,3.4,"Bhubaneswar, the temple city of India, once known for its architecture and grand temples, is presently a thriving centre for commerce and business.",October to March,india
Ajmer,3.5,"Surrounded by Aravali ranges, the city of Ajmer is most famous for the Ajmer Sharif Dargah of saint Muin-ud-din Chishti. Located at a distance of 130 km from Jaipur and 14 kms from Pushkar in Rajasthan, the city is firmly bound by its traditions and culture. Ajmer has a unique charm which ...",October to March,india
Goa,4.5,"Lying on the western coast, Goa is India's smallest state and unlike any other, known for its endless beaches, stellar nightlife, eclectic seafood, world-heritage listed architecture. Spread across just 3,702 km, Goa lies in the Konkan region. It is a far cry from the hippie haven or ...",October to March,india
Manali,4.5,"Nestled in between the snow-capped slopes of the Pir Panjal and the Dhauladhar ranges, Manali is one of the most popular hill stations in the country. With jaw-dropping views, lush green forests, sprawling meadows carpeted with flowers, gushing blue streams, a perpetual fairy-tale like mist lingerin...",October to June,india
Andaman & Nicobar Islands,4.5,"Replete with picturesque shimmering beaches, lagoons of turquoise blue waters and a bit of history, Andaman & Nicobar Islands is a little slice of paradise tucked around 1,400 km away from the east coast of India. The union territory comprises a total of 572 islands, only 37 of which are inhabit...",October to Jun,india
Coorg,4.2,"Located amidst imposing mountains in Karnataka with a perpetually misty landscape, Coorg is a popular coffee producing hill station. It is popular for its beautiful green hills and the streams cutting right through them. It also stands as a popular destination because of its culture and people....",October to March,india
Agra,4.2,"Located on the banks of River Yamuna in Uttar Pradesh, Agra is a popular tourist destination as it is home to one of the 7 wonders of the world, the Taj Mahal. It is a sneak peek into the architectural history and legacy of the Mughal empire with two other UNESCO World Heritage S...",October to March,india
Udaipur,4.5,"Udaipur, also known as the City of Lakes, is the crown jewel of the state of Rajasthan. It is surrounded by the beautiful Aravalli Hills in all directions, making this city as lovely as it is. This 'Venice of the East' has an abundance of natural beauty, mesmerising temples and breathtaking architec...",October to March,india
Jaipur,4.3,"Jaipur is a vibrant amalgamation of the old and the new. Also called the Pink City, the capital of the royal state of Rajasthan, was ruled by the Rajputs for many centuries and developed as a planned city in the 17th century AD. Along with Delhi and Agra, Jaipur forms the Golden Triangle and ha...",October to March,india
Leh Ladakh,4.7,"Ladakh is a union territory in the Kashmir region of India. Formerly falling in the state of Jammu & Kashmir, Ladakh was administered a union territory on 31st October 2019. Extending from the Siachen Glacier to the main Great Himalayas, Ladakh is a land like no other.",Jun to Sep,india
Delhi,4.2,"The capital of India, Delhi is a cosmopolitan city with a historic old Delhi and the modern New Delhi. From historical monuments to crowded shopping malls, from an extensive network of the modern metro system to Delhi University campus, Dilli has multiple personalities and is considered to be the ci...",October to March,india
Varanasi,4.2,"World's oldest living city, Varanasi - also known as Kashi (City of Life) and Benaras, is the spiritual capital of India. It is one of Hinduism's seven holy cities. The old city of Varanasi lies along the western banks of the Ganges, spread across a labyrinth of narrow galis. Be&...",October to March,india
Jaisalmer,4.3,"Jaisalmer is a major tourist spot located in the northwestern state of Rajasthan in India. It is known as the 'golden city' due to its bounteous golden dunes and castles clad in golden honey sandstone. Jaisalmer is adorned with lakes, ornate Jain temples and havelis. Climb on to the camel ...",October to March,india
Mumbai,4.2,"Mumbai, the capital city of the Indian state of Maharashtra, is a spectacular paradox of chaos and hope, glamour and squalor, modernity and tradition. Famously known as the City of Dreams, Mumbai – formerly known as Bombay - Mumbai is a beautifully blended melting pot of cultures and lifestyles.",October to February,india
Rishikesh,4.3,"Located in the foothills of the Himalayas along the convergence of Ganga and Chandrabhaga River, Rishikesh is a small town in the Dehradun district, located close to Haridwar in Uttarakhand. Rishikesh (also called as Hrishikesh) is known for its adventure activities, ancient temples, popular ca...",Throughout the year,india
Alleppey,4.5,"Officially called Alappuzha, Alleppey is a city in the South Indian state of Kerala. Bordering the Laccadive Sea, it is known for its wide network of interlinking, palm-fringed canals called backwaters and rejuvenating Ayurvedic resorts. Allepey is also popular for its Houseboat cruises that pa...",June to March,india
Munnar,4.5,"Munnar is a popular hill-station of Kerala perched at an altitude of 1600 metres in the Western Ghats. Famous for its tea estates, various shades of green, blankets of mist and craggy peaks, Munnar is aptly known as the 'Kashmir of South India'.",September to May,india
Bangalore,4,"Having evolved gradually from being the Garden city to the Silicon Valley of India, Bangalore is India's third-largest city. Bangalore is loved for its pleasant weather, beautiful parks and the many lakes here. Bangalore is renowned for its eateries, street food corners, quirky cafes, coffee ro...",Throughout the year,india
Varkala,4.2,"Varkala is a coastal town in the southern part of Kerala known for the unique 15m high 'Northern Cliff' adjacent to the Arabian Sea. It is popular for its hippie culture, shacks on the cliff serving great seafood and playing global music and the samadhi of Kerala's saint Sree Narayana Guru...",Throughout the year,india
Jodhpur,3.9,"Also known as the ""The Blue City"", ""Sun City"" and ""Gateway to Thar"", Jodhpur is famous for its Mehrangarh fort, blue houses, temples, sweets and snacks. Apart from the fort, there are multiple temples, lakes, shopping streets that are like a mirage from a bygone era.",November to February,india
Shimla,4.2,"Shimla is the capital Himachal Pradesh in India and a popular hill-station among Indian families and honeymooners. Situated at the height of 2200m, Shimla was the summer capital of British India. Shimla still retains its old-world charm with beautiful colonial architecture, pedestrian-friendly ...",October to June,india
Gangtok,4.4,"Incredibly alluring, pleasantly boisterous and wreathed in clouds - Gangtok, the capital of Sikkim, is one of the most popular hill stations in India. Lying at the height of 1650 m above sea level, the town during its bright sunny days offers spectacular views of Mt. Kanchenjunga. Gangtok is a base ...",Throughout the year,india
Srinagar,4.5,"Famously known as ‘Heaven on Earth’, Srinagar is located in the union territory of Jammu & Kashmir, on the banks of river Jhelum. As picturesque as the most stunning painting to ever be painted, Srinagar is known for the stationary houseboats and colourful Shikararas on Dal Lake.",April to October,india
Darjeeling,4.3,"Jaw-dropping locales, mesmerising sunrises, the untouched beauty of the hills, the old-world charm of the past, and the welcoming smiles of the local people all add up to make Darjeeling one of the most beautiful hill stations in Eastern part of India. Spread over a steep mountain ridge, nestle...","February to March, September to December",india
Kolkata,4.1,"Kolkata, India's second biggest city, is a perpetually ongoing festival of human existence, concurrently luxurious and squalid, refined and frantic, pointedly futuristic, while beautifully in decay. A vibrant 350-year-old metropolis located on India's Eastern Coast, the capital of West Bengal thrive...",October to March,india
Amritsar,4.3,"Home of the glorious Golden Temple, the iconic city of Amritsar, portrays the heroic character of the Punjab. A day in this peaceful city starts with the spiritual prayers from Gurudwaras. The original name of first the ancient lake, then of the temple complex, and later the surrounding ci...",October to March,india
Nainital,4.3,"The gem of Uttarakhand - Nainital is a charming hill station that sits prettily at the green foothills of the Kumaon ranges in the Himalayas. Located at an elevation of around 1938 metres, Nainital is located and developed around the beautiful Naini Lake, after which the town is named.&nbs...",Throughout the year,india
Ooty,4.1,"Nestled amidst Nilgiri hills, Ooty, also known as Udagamandalam, is a hill station in Tamil Nadu which serves as a top-rated tourist destination. Once regarded as the summer headquarters of the East India Company, the Queen of the hills is a picturesque getaway.",Throughout the year,india
Hyderabad,4,"A city of contrasts, Hyderabad exudes an old-world charm of its own with the Old City (Charminar side), Hitech City (Cyberabad) and the other areas lying between the old and the new. The capital and the largest city of Telanaga, Hyderabad is home to stately mosques and noisy bazaars lined ...",September to March,india
Mussoorie,3.8,"Mussoorie is one of the most popular hill stations located at a distance of 290 km from Delhi in Dehradun district of Uttarakhand. With a backdrop of Shivalik range of Himalayas and doon valley, Mussoorie, also known as Queen of The Hills, stands at an altitude of 7000 feet above sea level and has a...",September to June,india
Pondicherry,4,"Pondicherry, officially known as Puducherry, and commonly referred to as just Pondy, is one of the seven Union Territories of India which is bounded by the southern state of Tamil Nadu. This former French colony is a perfect amalgamation of the traditional Indian sensibilities an...",October to March,india
Khajuraho,4.2,"Khajuraho, a UNESCO World Heritage Site located in Madhya Pradesh, is known around the world for its stunning temples adorned by erotic and sensuous carvings. A small town located in the Bundelkhand region, Khajuraho is a brilliant example of Indian architecture and its culture back in the medi...",July to March,india
Chennai,3.5,"Formerly known as Madras, Chennai is the capital city of the state of Tamil Nadu, in the southern part of India. Located on the Coromandel coast of Bay of Bengal, Chennai is as dynamic as it is immersed in tradition. This 'capital of the south', is one among the four metropolitan siblings of In...",October to March,india
Vaishno Devi,4.3,"Vaishno Devi is a temple town that's home to the famous Vaishno Devi Mandir. Popularly known as Mata Rani, Vaishnavi and Trikuta, Vaishno Devi is a manifestation of the Hindu Goddess Durga. Located in Trikuta hills, 13 kms from Katra (in the union territory of Jammu and Kashmir); this renowned shrin...",Throughout the year,india
Dalhousie,4,"The tiny tinsel town of Dalhousie is a paradise tucked away in the lap of Himachal Pradesh. It boasts of old-world charm, mesmerising natural landscapes, pine-clad valleys, flower-bedecked meadows, fast-flowing rivers and magnificent misty mountains. This hill station was one of the favourite summer...",Throughout the year,india
Ajanta and Ellora Caves,4.3,"Ajanta and Ellora caves, considered to be one of the finest examples of ancient rock-cut caves, are located near Aurangabad in Maharashtra, India. Ajanta and Ellora caves complex is adorned with beautiful sculptures, paintings, and frescoes and include Buddhist monasteries, Hindu and Jain temples. T...",June to March,india
Haridwar,3.6,"Haridwar, considered to be among the seven holiest cities in India, is an ancient city located on the banks of River Ganga in the Garhwal region of Uttarakhand. Dotted with temples, ashrams and narrow lanes across the city, Haridwar is a famous Hindu temple town where millions of devotees come to ta...",Throughout the year,india
Kanyakumari,3.6,"Bordered by the three seas - Arabian, Indian and the Bay of Bengal, Kanyakumari is the southernmost tip of Indian Peninsula. A small coastal town in the state of Tamil Nadu, Kanyakumari was earlier known as Cape Comorin. The town is a mountainous terrain amid three seas, with ele...",October to February,india
Mcleodganj,4.3,"Mcleodganj is a hill station near Dharamshala, popular among trekkers. Located in Kangra district, Mcleodganj's culture is a beautiful blend of Tibetan with some British influence.",October to June,india
Pune,3.3,"Pune is a bustling metropolis of Maharashtra, ranked number one in India in the ease of living. Often referred to as the Oxford of the East, it is a hub of diverse people and activities and is in rapidly growing into one of the top metropolitan cities in the country. Pune is a city that pe...",July to March,india
Kodaikanal,4.4,"Located in the state of Tamil Nadu, Kodaikanal is one of the most famous honeymoon destinations in India. A Lakeside resort town of Tamil Nadu, Kodaikanal has a beautiful climate, mist-covered manicured cliffs and waterfall that come together to create the ideal setting for a perfect getaway. Kodaik...",September to May,india
Kochi,3.8,"Situated on the south-west coast of India, Kochi or Cochin is a bustling commercial port city with a trading history that dates back to at least 600 years. Called as the Queen of the Arabian Sea, the city is the financial, commercial and industrial capital of Kerala.",July to April,india
Ahmedabad,3.3,"A rapidly growing metropolis, an industrial hub, an educational hotspot, and a city with a magnificent past – Ahmedabad is one of the most important cities in Gujarat. Located on the banks of the Sabarmati River, Ahmedabad is the former capital of Gujarat, and its delicious food, colourful culture i...",October to March,india
Kanha National Park,3.5,"Located in a central region of Madhya Pradesh, Kanha National Park is the largest National Park in central India and has been ranked as one of the best parks in Asia. Among the 22 species of large mammals, the royal Bengal tigers are one of the major attractions. One of the best tiger reserves in In...",October to June,india
Paro,4.2,Paro is a small town situated in the Paro Valley of Bhutan. It is one of the most fertile as well as historic valley of Bhutan which is the widest in the Kingdom. It is home to 155 temples and monasteries dating back to the 14th century and also Bhutan's sole international airport. The Par...,September till November.,bhutan
Thimphu,3.7,"Thimphu is known as the heart of Bhutan nestled in its central-western part. Replaced by Bhutan's ancient capital - Punakha, Thimphu was declared the capital city of the Himalayan Kingdom in the year 1961. Originally pronounced as 'Thimbu', the city is known as the most modernised place in Bhut...","September to November, March to May",bhutan
Phobjikha Valley (Gangtey),3.8,"Against the backdrop of western slopes of the Black Mountains in Wangdue Phodrang, lies the bowl-shaped Phobjikha valley that offers breathtaking views of vast expanses of green fields. It is home to the endangered black-necked crane that migrates to this area during winters. Phobjikha valley a...",October to December,bhutan
Haa Valley,3,"Known as the smallest Dzongkhang (district) of Bhutan, Haa Valley is one of the most picturesque places located at the south-west of Paro. The idyllic wooded forests and paths are ideal for enthusiastic hikers and trekkers. This is also the only place in the world where one can find the cream colour...",October - November,bhutan
Phuentsholing,3.5,"The second largest town in Bhutan, Phuentsholing shares its borders with the Indian State of West Bengal. Serving as an entry point for travellers from Kolkata and Siliguri, it is an important economic hub of Bhutan. An urban centre, it is more developed than most of the towns of Bhutan, yet it has ...",NaN,bhutan
Wangdue Phodrang,3.2,"Being one of the largest Dzongkhangs (District) of Bhutan, Wangdue Phodrang has everything from monasteries and temple to wildlife and rustic villages. The reason why the region is different as compared to others is that it is very diverse in terms of subtropical forests in the south to cold, snowy ...","March to May, September to November",bhutan
Jakar,3.2,"Nestled at the foothills of Choekhor Valley, Jakar is the largest and the most beautiful valley in Bumthang. It is popularly known as ""Little Switzerland"". Jakar is the principal administrative town of the district of Bumthang. Bumthang consists of four valleys - Tang, Ura, Choekhor and Chumey, out ...","March to May, September to November",bhutan
Bumthang,3.1,"Home to four beautiful mountain valleys and an array of ancient monasteries and temples, Bumthang takes its place as the most historic of all districts in Bhutan. Considered to be the spiritual centre of the Himalayan Kingdom, Bumthang is a beautiful place to visit if one has a keen interest in reli...",March to May and September to November,bhutan
Punakha,3.5,"Punakha is one of the 20 districts (dzongkhags) of Bhutan bordered by the Gasa, Wangdue Phodrang and Thimphu districts. Located at the height of 1200m above sea level, Punakha offers a mesmerising view of the Himalayas.",March to May,bhutan
Samdrup Jongkhar,2.1,"Samdrup Jongkhar is a small town in South-Eastern Bhutan and is located at the border of Assam and Arunachal Pradesh. Its proximity to the Indian border with multiple Indian shopkeepers and hawkers setting up shops here makes it one of the largest urban centres of Bhutan.Samdrup Jongkhar, a beautifu...",NaN,bhutan
Mongar,2.9,"Mongar is a small town situated in Eastern Bhutan, widely known for its lemongrass production in the country. It is also one of the oldest education centres in the country. With a population of about 40,000 people, Mongar is one of the fastest developing districts in Bhutan. It is also the site&nbsp...",NaN,bhutan
Trongsa,3.8,"Trongsa is a hilltop town situated at the centre of Bhutan; hence known to be the heart of the Himalayan Kingdom. It's translated as ""new village"" in Dzongkha that has a backdrop of the black mountains offering beautiful views of the surrounding valleys.",November to February,bhutan
Lhuentse,2.8,Lhuentse is a small town located 67 kilometres away from Mongar in Eastern Bhutan. The town is remote and one of the least developed districts in Bhutan which was formerly known as Kurtoe. It is the ancestral home of the Royal family; hence keeping the most distinct art forms of the country intact.,NaN,bhutan
Trashigang,2.3,"Trashigang, called the 'Jewel of the East', is a beautiful hill station located in Eastern Bhutan, spread across an altitude ranging from 600 m to over 4000 m. It is the largest district of Bhutan and is immensely beautiful and serene. Trashigang is also a renowned town for trade-in Bhutan, serving ...",NaN,bhutan
Royal Manas National Park,NaN,"The oldest national park in Bhutan, Royal Manas National Park is one of the largest national parks in the country. Known as the ""conservation showpiece of the Kingdom"", it is the largest example of tropical and sub-tropical ecosystems in Bhutan. Occupying south-central Bhutan, it shares its southern...",NaN,bhutan
Chele La Pass,NaN,"Bhutan, being a country with a mountainous landscape, is linked with a series of passes. Located at approximately 13,000 feet between the valley of Paro and Haa, Chele La Pass is the highest motorable road pass in Bhutan. The pass is famous for the stunning Himalayan views it offers, especially Mt. ...",NaN,bhutan
Laya Gasa Trek,NaN,"Laya Gasa trek is one of the most popular and scenic long-distance treks in the northern Himalayan region of Bhutan, along the border with Tibet.",NaN,bhutan
Dochula Pass,NaN,"Nestled in the eastern edge of the Himalayas, the Kingdom of Bhutan boasts of spectacular mountain views and some of the happiest people in the world. And with this beautiful outlook of life came the creation of Dochula Pass, a breath-taking mountain pass, in commemoration of Bhutanese soldiers who ...",NaN,bhutan
Mountain Biking in Bhutan,NaN,Speeding up your bike en route to the top of the hill and playing with wind and speed while enjoying the beautiful sights from there is one of the best experiences that a man can fathom in his lifetime. And what's a better way to get your adrenaline racing than mountain biking in Bhutan? With its vi...,NaN,bhutan
Archery in Bhutan,NaN,"Seeing the level of enthusiasm that Bhutanese have for this sport, it would not be wrong to say that archery is the crown jewel of the country. And it must be the aura of Bhutan that even the tourists can't resist themselves to enjoy one or more matches of archery. The joy of seeing an arrow leaving...",NaN,bhutan
Rock Climbing in Bhutan,NaN,"While many tourists love conquering the high cliffs by hiking, some take the adventure a few notches higher with rock climbing which take mental and physical determination, body strength, agility, perfect balance, endurance and also control over the mind. It was in early 1998 that Bhutan first opene...",NaN,bhutan
River Rafting in Bhutan,NaN,"With a number of rugged, untamed rivers meandering through its map, Bhutan offers the perfect destination for river rafting. Mo Chhu, Paro Chhu in Punakha, Sankosh River, Mangde Chhu, Wang Chhu, Puna Tsang Chhu and the Dangme Chhu are considered to be the best for rafting due to their easy access an...",NaN,bhutan
Trekking in Bhutan,NaN,"Trekking in Bhutan is undoubtedly a most astonishing and adventurous experience for hikers around the globe. No matter whether you are an amateur or an expert in trekking, you will get your fair share of adrenaline on whichever trekking route you choose as per the difficulty levels. Just ensure that...",NaN,bhutan
Hike Up the Tiger's Nest - Trek & Trekking Trail,NaN,"Tiger's Nest Monastery, or Paro Taktsang, is one of the most prominent Buddhist sites in Bhutan. Located 900 metres above the upper cliff in the Paro Valley, this monastery is undoubtedly an architectural marvel. Tiger's nest is known for the trek that has been carried on for years. With a total dis...",NaN,bhutan
Taste the Authentic Bhutanese Cuisine,NaN,"What the Bhutanese are essentially in love with is a spice which comes across so boldly in a variety of their dishes. Vegetarian tourists could breathe a sigh of relief about their food options. What is interesting to note is that despite the existence of many popular meat-based dishes, a significan...",NaN,bhutan
Visit the Motithang Takin Preserve,NaN,"The crown jewel of Thimphu, Motithang Takin Preserve is a protected area where the national animal of Bhutan, Takin, is preserved. A half an hour walk here would unveil many exotic birds and animals to you, who wander around the area freely and in the most natural of habitat. Overflowing with sereni...",NaN,bhutan
Karimunjawa Islands,NaN,"An archipelago that consists of 27 islands that form a marine park, of which only 5 are inhabited by people, the Karimunjawa Islands are the archetypal castaway island paradise. A burgeoning tourism industry is beginning to take hold of these islands fringed by pearly white sandy beaches, and is qui...",NaN,indonesia
Wakatobi Islands,NaN,"An island group that consists of 4 islands that are situated to the southeast of Sulawesi, Wakatobi is fast gaining a reputation for being amongst the world’s premier destinations for diving and snorkelling. Its pristine beaches, unspoilt marine ecosystem that contains the second largest coral reef ...",NaN,indonesia
Tanjung Aan Beach,NaN,"A rugged trail road leading from Kuta (not to be confused with Kuta, Bali) in Lombok leads to one of the beaches in Lombok that is still fairly off the beaten tourist trail. The beach’s iconic swings dot the sandy white coastline and is a favourite amongst surfers and beach bums. The turquoise water...",NaN,indonesia
Plengkung Beach,NaN,"Known the world over as G-Land, Plengkung beach is revered by surfers for its incredible waves that regularly swell to over 7m. Plengkung Beach's surf is meant for experienced surfers looking for the next big wave that they're looking for and it is a common sight to see surfers and their boards skim...",NaN,indonesia
Pulau Biak,NaN,"Located in the Cenderawasih Bay in the Papua province, Pulau Biak or Biak Island is home to many corals, atolls and reefs. The largest island in the Biak-Numfor archipelago, it is a haven for diving and snorkelling enthusiasts. With a tropical climate throughout the year, the water temperature is ex...",NaN,indonesia
Bali,4.7,"Bali, Indonesia’s most famous island, is located to the west of Java in the Lesser Sunda Islands. It is world-renowned for its scenic rice terraces, fragrant cuisine, stunning beaches and a galore of culture and tradition. With its elaborate temples, endl...","April, May, June and September",indonesia
Yogyakarta,3.4,"Located in Central Java, Yogyakarta, or Jogjakarta, is one of Indonesia’s most important cultural, intellectual, and literary hubs, and is the beating heart of Indonesian tradition. A short flight away from the capital Jakarta, Jogja or Yogya, as it is often abbreviated to, is easily accessible from...",NaN,indonesia
Gili Trawangan,4.5,"Located just off the northeastern coast of Lombok and to Bali' west, Gili Trawangan is a part of the Gili Island archipelago comprising Gili Trawangan, Gili Meno, and Gili Air and more than 20 other smaller islands. It is also the most developed and tourist-friendly among them. The largest of the Gi...",NaN,indonesia
Gili Air Island,4,"Gili Air, which is among the three Gili Islands in Indonesia, is the island closest to Lombok and offers the best of both worlds - be it peaceful travelling or party hopping. From temples to waterfalls, to beachside shacks, to secluded surf spots, along with cosy cafes and nightlife hubs, the y...",NaN,indonesia
Nusa Penida,3.8,"The hidden treasure of Indonesia, Nusa Penida is the most exotic of the three Nusa Islands and is relatively less travelled. Located in the Klungkung district, it is a little off the shores of Bali. During this season, the island is relatively dry and is fairly suited for activities like snorkelling...",NaN,indonesia
Komodo Island,4,"Komodo Island has been named as one of the new seven natural wonders of the world. Komodo Island, along with Rinca and the other islands that comprise Komodo National Park, is one of the only few places in the world where one finds Komodo dragons out of captivity. Apart from this, the island is also...",NaN,indonesia
Borobudur,4.7,"The Borobudur Temple complex is the largest Buddhist temple in the world and is a UNESCO World Heritage Site. One of the most visited attractions in Indonesia, it was built in the 8th-Century. A marvel of Buddhist architecture, with multiple platforms stacked on each other, the temple is capped...",NaN,indonesia
Jakarta,4.5,"Indonesia's capital city, Jakarta is also the nation's cultural, economic and political centre. Amble leisurely through Kota Baru, or Jakarta's Old Town, where colonial Dutch architecture remains preserved as they stood during the times before Indonesia's independence. Take in the heady si...",July to October,indonesia
Lombok,4,"Lombok is an island in the Indian Ocean which is part of the Lesser Sunda Islands. Promoted as ""an unspoiled Bali"", Lombok is what people expected Bali to be before it became crowded and a mainstream travel destination. The island is in itself getting some attention in recent times for its beaches a...",Dry season (May to Septembert),indonesia
